116.0,269.0,0.0|move:0.0000,left:-1.5000,right:0.0000,open:-1.5000,close:-2.8500
116.0,269.0,330.0|move:0.0000,left:-1.5000,right:0.0000,open:0.0000,close:0.0000
116.0,269.0,300.0|move:0.0000,left:-1.5000,right:0.0000,open:0.0000,close:0.0000
116.0,269.0,270.0|move:-1.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
116.0,267.0,270.0|move:0.0000,left:-1.5000,right:0.0000,open:0.0000,close:0.0000
116.0,267.0,240.0|move:-1.5000,left:0.0000,right:0.0000,open:-2.8500,close:0.0000
115.0,265.0,240.0|move:0.0000,left:-1.5000,right:0.0000,open:-1.5000,close:0.0000
115.0,265.0,210.0|move:-1.5000,left:-1.5000,right:0.0000,open:0.0000,close:-1.5000
115.0,265.0,180.0|move:0.0000,left:-1.5000,right:-1.5000,open:0.0000,close:0.0000
115.0,265.0,150.0|move:0.0000,left:0.0000,right:-1.5000,open:0.0000,close:0.0000
113.0,264.0,210.0|move:0.0000,left:-1.5000,right:0.0000,open:-1.5000,close:0.0000
113.0,264.0,180.0|move:0.0000,left:-1.5000,right:0.0000,open:-1.5000,close:-1.5000
113.0,264.0,150.0|move:-1.5000,left:0.0000,right:0.0000,open:0.0000,close:-1.5000
111.0,265.0,150.0|move:0.0000,left:-1.5000,right:-1.5000,open:0.0000,close:0.0000
111.0,265.0,120.0|move:0.0000,left:0.0000,right:-1.5000,open:-1.5000,close:0.0000
111.0,265.0,180.0|move:-1.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
109.0,265.0,180.0|move:0.0000,left:0.0000,right:-1.5000,open:0.0000,close:0.0000
109.0,265.0,210.0|move:0.0000,left:0.0000,right:-1.5000,open:0.0000,close:-1.5000
109.0,265.0,240.0|move:-1.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
108.0,264.0,240.0|move:0.0000,left:-1.5000,right:-1.5000,open:0.0000,close:0.0000
108.0,264.0,210.0|move:0.0000,left:-1.5000,right:-1.5000,open:-1.5000,close:0.0000
108.0,264.0,180.0|move:0.0000,left:0.0000,right:-1.5000,open:0.0000,close:0.0000
108.0,264.0,270.0|move:-1.5000,left:0.0000,right:0.0000,open:-1.5000,close:0.0000
108.0,262.0,270.0|move:0.0000,left:-1.5000,right:-1.5000,open:-1.5000,close:-1.5000
108.0,262.0,240.0|move:0.0000,left:0.0000,right:-1.5000,open:0.0000,close:0.0000
108.0,262.0,300.0|move:-2.5000,left:0.0000,right:-1.5000,open:0.0000,close:0.0000
108.0,262.0,330.0|move:0.0000,left:-1.5000,right:0.0000,open:0.0000,close:0.0000
109.0,260.0,300.0|move:0.0000,left:-2.5000,right:0.0000,open:0.0000,close:0.0000
109.0,260.0,270.0|move:0.0000,left:-2.5000,right:0.0000,open:-2.5000,close:0.0000
109.0,260.0,240.0|move:0.0000,left:-2.5000,right:0.0000,open:-2.5000,close:-2.5000
109.0,260.0,210.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:-2.5000
108.0,259.0,210.0|move:-2.5000,left:-2.5000,right:-2.5000,open:-2.5000,close:-2.5000
108.0,259.0,180.0|move:0.0000,left:0.0000,right:-2.5000,open:0.0000,close:0.0000
108.0,259.0,240.0|move:0.0000,left:-2.5000,right:0.0000,open:0.0000,close:0.0000
106.0,258.0,210.0|move:0.0000,left:0.0000,right:-2.5000,open:0.0000,close:0.0000
106.0,258.0,240.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
105.0,256.0,240.0|move:0.0000,left:-2.5000,right:0.0000,open:0.0000,close:0.0000
105.0,256.0,210.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
103.0,255.0,210.0|move:0.0000,left:-2.5000,right:0.0000,open:0.0000,close:-2.5000
103.0,255.0,180.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
101.0,255.0,180.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
99.0,255.0,180.0|move:0.0000,left:-2.5000,right:0.0000,open:0.0000,close:-2.5000
99.0,255.0,150.0|move:-2.5000,left:0.0000,right:0.0000,open:-2.5000,close:0.0000
97.0,256.0,150.0|move:-2.5000,left:0.0000,right:0.0000,open:-2.5000,close:0.0000
96.0,257.0,150.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
94.0,258.0,150.0|move:0.0000,left:-2.5000,right:-2.5000,open:-2.5000,close:-2.5000
94.0,258.0,120.0|move:0.0000,left:0.0000,right:-2.5000,open:0.0000,close:0.0000
94.0,258.0,180.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
92.0,258.0,180.0|move:-2.5000,left:0.0000,right:0.0000,open:-2.5000,close:0.0000
90.0,258.0,180.0|move:0.0000,left:-2.5000,right:0.0000,open:-2.5000,close:0.0000
90.0,258.0,150.0|move:-2.5000,left:0.0000,right:0.0000,open:-2.5000,close:0.0000
88.0,259.0,150.0|move:0.0000,left:-2.5000,right:0.0000,open:-2.5000,close:0.0000
88.0,259.0,120.0|move:0.0000,left:-2.5000,right:0.0000,open:-2.5000,close:-2.5000
88.0,259.0,90.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:-2.5000
88.0,261.0,90.0|move:0.0000,left:0.0000,right:-2.5000,open:0.0000,close:0.0000
88.0,261.0,120.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:-2.5000
87.0,263.0,120.0|move:-2.5000,left:0.0000,right:0.0000,open:0.0000,close:0.0000
86.0,265.0,120.0|move:0.0000,left:0.0000,right:-2.5000,open:0.0000,close:0.0000
86.0,265.0,150.0|move:0.0000,left:0.0000,right:-2.5000,open:-2.5000,close:0.0000
